gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight
128.0,128.0,197.73665642738342,28.43515563011169,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.73665642738342,28.43515563011169,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.73665642738342,28.43515563011169,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.69982862472534,28.422879695892334,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.69982862472534,28.422879695892334,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.43515563011169,22.2930965423584,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.43515563011169,22.2930965423584,0.0,0.0,0.0
128.0,128.0,197.6507248878479,28.803433656692505,22.2930965423584,0.0,0.0,0.0
128.0,128.0,197.87169170379636,28.803433656692505,22.313556432724,0.0,0.0,0.0
128.0,128.0,198.12948632240293,28.803433656692505,22.313556432724,0.0,0.0,0.0
128.0,128.0,198.12948632240293,28.803433656692505,22.313556432724,0.0,0.0,0.0
128.0,128.0,198.12948632240293,28.64384651184082,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.66300082206726,28.64384651184082,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.799341678619385,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.803433656692505,22.2930965423584,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.852537393569943,22.329924345016483,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.852537393569943,22.329924345016483,0.0,0.0,0.0
128.0,128.0,197.90442752838135,28.852537393569943,22.2930965423584,0.0,0.0,0.0
128.0,128.0,197.9576232433319,28.852537393569943,22.464959621429443,0.0,0.0,0.0
128.0,128.0,197.90442752838135,28.852537393569943,22.464959621429443,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.799341678619385,22.464959621429443,0.0,0.0,0.0
128.0,128.0,197.66300082206726,28.815709590911865,22.464959621429443,0.0,0.0,0.0
128.0,128.0,197.66300082206726,28.815709590911865,22.464959621429443,0.0,0.0,0.0
128.0,128.0,197.82258796691892,28.815709590911865,22.464959621429443,0.0,0.0,0.0
128.0,125.0,197.7857601642609,28.525179147720337,22.464959621429443,0.00054931640625,0.00054931640625,0.00054931640625
128.0,119.0,197.90442752838135,28.492443323135376,22.485419511795047,0.00494384765625,0.00494384765625,0.00494384765625
128.0,106.0,197.7857601642609,28.369683980941772,22.497695446014404,0.029541015625,0.029541015625,0.029541015625
128.0,101.0,197.71619653701782,28.369683980941772,22.53452324867249,0.04449462890625,0.04449462890625,0.04449462890625
128.0,95.0,197.71619653701782,28.369683980941772,22.53452324867249,0.06646728515625,0.06646728515625,0.06646728515625
128.0,81.0,197.71619653701782,28.369683980941772,22.497695446014404,0.13482666015625,0.13482666015625,0.13482666015625
137.0,72.0,197.71619653701782,28.369683980941772,22.53452324867249,0.1914700868770647,0.1914700868770647,0.595378194032931
131.0,54.0,197.7857601642609,28.369683980941772,22.620454788208008,0.3342289670351824,0.3342289670351824,0.4649339879988004
132.0,52.0,197.7857601642609,28.369683980941772,22.53452324867249,0.3525404150770452,0.3525404150770452,0.446048796792124
144.0,51.0,197.73665642738342,28.33694815635681,22.620454788208008,0.3622146093460808,0.3622146093460808,0.41580886892151053
148.0,51.0,197.73665642738342,28.33694815635681,22.620454788208008,0.36270005382752263,0.36270005382752263,0.4029922902396655
152.0,51.0,197.71619653701782,28.369683980941772,22.620454788208008,0.36287708770500937,0.36287708770500937,0.39931103286282
