gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight
128.0,128.0,110.13149785995483,12.571375036239624,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.580377388000489,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.589379739761352,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.598382091522216,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.607384443283081,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.1647792816162,12.616386795043946,40.33026309013367,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.19806070327759,12.62538914680481,40.272702598571776,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.23134212493896,12.634391498565673,40.21514210700989,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.26462354660035,12.643393850326538,40.157581615447995,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.29790496826172,12.652396202087402,40.10002112388611,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.33118638992309,12.661398553848267,40.04246063232422,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.36446781158448,12.670400905609132,39.98490014076233,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.39774923324585,12.679403257369994,39.9090621471405,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.43103065490723,12.701227140426635,39.83322415351868,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.4643120765686,12.723051023483276,39.75738615989685,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.49759349822997,12.735872554779053,39.68154816627502,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.53087491989136,12.74869408607483,39.6057101726532,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.56415634155273,12.761515617370605,39.52987217903137,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.56415634155273,12.774337148666381,39.416387987136844,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.56415634155273,12.792887449264526,39.30290379524231,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.53087491989136,12.811437749862671,39.24698009490967,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.49759349822997,12.829988050460816,39.191056394577025,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.4643120765686,12.84853835105896,39.13513269424438,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.43103065490723,12.867088651657104,39.07920899391174,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.39774923324585,12.885638952255249,39.0232852935791,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.36446781158448,12.904189252853394,38.96736159324646,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.33118638992309,12.922739553451539,38.88388524055481,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.29790496826172,12.941289854049682,38.818686389923094,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.26462354660035,12.94701862335205,38.753487539291385,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.23134212493896,12.95274739265442,38.68828868865967,-1.0,0.0,0.0,0.0,0.0
