gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight
128.0,0.0,114.76770901679994,22.159902656078337,23.413684737682342,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,21.927717000246048,23.412968641519544,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,21.716639131307602,23.411536449193953,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,21.526669049263,23.409388160705564,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,21.357806754112243,23.40652377605438,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,21.21005224585533,23.4029432952404,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,21.083405524492264,23.398646718263624,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,20.97786659002304,23.39399209320545,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,20.89343544244766,23.38897942006588,1.0,,,0.0,0.0
128.0,0.0,114.81299357414247,20.793011480569838,23.38360869884491,1.0,,,0.0,0.0
128.0,0.0,114.90356268882752,20.676594704389572,23.37823797762394,1.0,,,0.0,0.0
128.0,0.0,115.03941636085511,20.54418511390686,23.373225304484368,1.0,,,0.0,0.0
128.0,0.0,115.22055459022525,20.395782709121704,23.368570679426195,1.0,,,0.0,0.0
128.0,0.0,115.44697737693788,20.21027970314026,23.364274102449418,1.0,,,0.0,0.0
128.0,0.0,115.71868472099305,19.987676095962527,23.36033557355404,1.0,,,0.0,0.0
128.0,0.0,116.03567662239077,19.7279718875885,23.35675509274006,1.0,,,0.0,0.0
128.0,0.0,116.397953081131,19.431167078018188,23.353481510281565,1.0,,,0.0,0.0
128.0,0.0,116.80551409721376,19.097261667251587,23.350514826178554,1.0,,,0.0,0.0
128.0,0.0,117.25835967063905,18.726255655288696,23.34785504043102,1.0,,,0.0,0.0
128.0,0.0,117.75648980140687,18.318149042129512,23.34550215303898,1.0,,,0.0,0.0
128.0,0.0,118.29990448951723,17.87294182777405,23.34345616400242,1.0,,,0.0,0.0
128.0,0.0,118.8886037349701,17.39063401222229,23.341717073321345,1.0,,,0.0,0.0
128.0,0.0,119.52258753776552,16.871225595474243,23.33583485484123,1.0,,,0.0,0.0
128.0,0.0,120.20185589790346,16.314716577529907,23.325809508562088,1.0,,,0.0,0.0
128.0,0.0,120.8811242580414,15.758207559585571,23.31164103448391,1.0,,,0.0,0.0
